0.274942f, -3.709444f, 4.068681f,
0.252767f, -3.690701f, 4.053445f,
0.279645f, -3.675249f, 4.041033f,
0.252767f, -3.690701f, 4.053445f,
0.274942f, -3.709444f, 4.068681f,
0.231331f, -3.704976f, 4.074732f,
0.279645f, -3.675249f, 4.041033f,
0.296201f, -3.697218f, 4.058876f,
0.274942f, -3.709444f, 4.068681f,
0.309335f, -3.660106f, 4.038644f,
0.319683f, -3.685271f, 4.056983f,
0.296201f, -3.697218f, 4.058876f,
0.296201f, -3.697218f, 4.058876f,
0.279645f, -3.675249f, 4.041033f,
0.309335f, -3.660106f, 4.038644f,
0.217435f, -3.716674f, 4.102753f,
0.246996f, -3.730017f, 4.107687f,
0.212440f, -3.724649f, 4.134807f,
0.246996f, -3.730017f, 4.107687f,
0.243046f, -3.736316f, 4.133038f,
0.257987f, -3.720739f, 4.085531f,
0.217435f, -3.716674f, 4.102753f,
0.257987f, -3.720739f, 4.085531f,
0.231331f, -3.704976f, 4.074732f,
0.380747f, -3.661844f, 4.097012f,
0.386540f, -3.630503f, 4.089285f,
0.399896f, -3.629138f, 4.119850f,
0.386540f, -3.630503f, 4.089285f,
0.380747f, -3.661844f, 4.097012f,
0.364133f, -3.666653f, 4.077059f,
0.399896f, -3.629138f, 4.119850f,
0.391310f, -3.660758f, 4.121215f,
0.380747f, -3.661844f, 4.097012f,
0.404290f, -3.632613f, 4.152804f,
0.394788f, -3.663519f, 4.147250f,
0.391310f, -3.660758f, 4.121215f,
0.391310f, -3.660758f, 4.121215f,
0.399896f, -3.629138f, 4.119850f,
0.404290f, -3.632613f, 4.152804f,
0.338931f, -3.646794f, 4.046588f,
0.343092f, -3.674721f, 4.063251f,
0.343092f, -3.674721f, 4.063251f,
0.364133f, -3.666653f, 4.077059f,
0.338931f, -3.646794f, 4.046588f,
0.365533f, -3.636616f, 4.064027f,
0.386540f, -3.630503f, 4.089285f,
0.365533f, -3.636616f, 4.064027f,
0.364133f, -3.666653f, 4.077059f,
0.362892f, -3.690361f, 4.211607f,
0.363963f, -3.666560f, 4.234165f,
0.337084f, -3.682013f, 4.246578f,
0.363963f, -3.666560f, 4.234165f,
0.362892f, -3.690361f, 4.211607f,
0.379847f, -3.679065f, 4.194788f,
0.337084f, -3.682013f, 4.246578f,
0.341630f, -3.702586f, 4.221443f,
0.362892f, -3.690361f, 4.211607f,
0.307394f, -3.697156f, 4.248967f,
0.318150f, -3.714564f, 4.223336f,
0.341630f, -3.702586f, 4.221443f,
0.399294f, -3.640588f, 4.184858f,
0.390838f, -3.669818f, 4.172601f,
0.390838f, -3.669818f, 4.172601f,
0.379847f, -3.679065f, 4.194788f,
0.399294f, -3.640588f, 4.184858f,
0.385398f, -3.652287f, 4.212879f,
0.363963f, -3.666560f, 4.234165f,
0.385398f, -3.652287f, 4.212879f,
0.379847f, -3.679065f, 4.194788f,
